latitude;longitude;name;id_country;;;;;
77553604;23670272;Svalbard y Jan Mayen;;77.553604;23.670272;;done;
15870032;100992541;Tailandia;;15.870032;100.992541;;done;
23697810;120960515;Taiwán;;23.69781;120.960515;;done;
-6369028;34888822;Tanzania;;-6.369028;34.888822;;done;
38861034;71276093;Tayikistán;;38.861034;71.276093;;done;
-6.343194;71876519;Territorio Británico del Océano Índico;;-6.34319E-06;71.876519;;done;
-49,280,366;69348557;Territorios Australes Franceses;;-49.280366;69.348557;;done;
31952162;35233154;Territorios palestinos;;31.952162;35.233154;;done;
-8794700;126136900;Timor Oriental;;-8.7947;126.1369;;done;
8619543;824782;Togo;;8.619543;0.824782;;done;
-8,967,363;-171855881;Tokelau;;-8.967363;-171.855881;;done;
-21178986;-175198242;Tonga;;-21.178986;-175.198242;;done;
10691803;-61,222,503;Trinidad y Tobago;;10.691803;-61.222503;;done;
33886917;9537499;Túnez;;33.886917;9.537499;;done ;
38969719;59556278;Turkmenistán;;38.969719;59.556278;;done ;
38963745;35243322;Turquía;;38.963745;35.243322;;done;
-7109535;177649330;Tuvalu;;-7.109535;177.64933;;done;
48379433;31165580;Ucrania;;48.379433;31.16558;;done;
1373333;32290275;Uganda;;1.373333;32.290275;;done;
-32522779;-55,765,835;Uruguay;;-32.522779;-55.765835;;done;3
41377491;64585262;Uzbekistán;;41.377491;64.585262;;done;
-15,376,706;166959158;Vanuatu;;-15.376706;166.959158;;done;
6423750;-66,589,730;Venezuela;;6.42375;-66.58973;;done;
14058324;108277199;Vietnam;;14.058324;108.277199;;done;
-13768752;-177,156,097;Wallis y Futuna;;-13.768752;-177.156097;;done ;
15552727;48516388;Yemen;;15.552727;48.516388;;done;
11825138;42590275;Yibuti;35;11.825138;42.590275;;done;
-13133897;27849332;Zambia;;-13.133897;27.849332;;done;
-19015438;29154857;Zimbabue;;-19.015438;29.154857;;done;
